botStrategy,skillPolicy,ghostXpComboCap,xpCurveMultiplier,xpGainMultiplier,singularityTriggerKills,replicate,games,finalLevel,careerGhosts,campaignSeconds,campaignXp,campaignXpPerMinute,averageRunSeconds,medianRunXp,averageRunKills,averageRunDeaths,averageDotsCollected,singularityRunRate,gameOverRate,deltaXpPerMinutePctVsNoSkills,deltaLevelVsNoSkills,secondsToLevel5,secondsToLevel10,secondsToLevel20,secondsToLevel35,secondsToLevel50,secondsToLevel75,secondsToLevel100
collector,none,16,1,1,200,1,100,18,1234,5882.366666666587,221420,2258.478730216327,58.823666666665865,2036,12.34,3.17,142.85,0,1,0,0,233.89999999999822,1234.733333333321,,,,,
collector,none,16,1,1,200,2,100,18,1155,5778.033333333265,214162,2223.8916355622996,57.78033333333265,1952,11.55,3.17,140.87,0,1,0,0,232.83333333333036,1348.0666666666518,,,,,
collector,none,16,1,1,200,3,100,18,1397,6004.699999999914,218233,2180.6218462204915,60.046999999999144,2034,13.97,3.17,147.91,0,1,0,0,189.7999999999969,1293.5333333333165,,,,,
collector,balanced,16,1,1,200,1,100,21,2507,6616.099999999877,318871,2891.7730989556317,66.16099999999877,2388,25.07,3.2,160.07,0,1,28.093783893326574,3,285.9666666666619,1301.366666666643,6127.6666666665615,,,,
collector,balanced,16,1,1,200,2,100,22,3118,7333.033333333174,368156,3012.3086853553755,73.33033333333174,3025,31.18,3.21,191.16,0,1,28.093783893326574,3,154.766666666663,1115.2333333333136,5568.633333333233,,,,
collector,balanced,16,1,1,200,3,100,20,2412,6721.133333333208,295051,2633.9397125485284,67.21133333333208,2384,24.12,3.19,164.88,0,1,28.093783893326574,3,227.9999999999973,1099.8999999999887,6217.099999999893,,,,
hunter,none,16,1,1,200,1,100,16,1292,3591.9666666667063,163580,2732.4307018438994,35.91966666666706,1544,12.92,3.15,102.17,0,1,0,0,163.96666666666715,1035.1333333333412,,,,,
hunter,none,16,1,1,200,2,100,16,1273,3496.7666666667083,160924,2761.2480100664093,34.967666666667085,1492,12.73,3.15,102.26,0,1,0,0,208.06666666666885,1062.1333333333453,,,,,
hunter,none,16,1,1,200,3,100,16,1260,3675.200000000036,165201,2697.0124074880014,36.752000000000365,1530,12.6,3.15,105.16,0,1,0,0,185.90000000000163,1040.0666666666762,,,,,
hunter,balanced,16,1,1,200,1,100,16,1451,3691.33333333337,171881,2793.8035037023383,36.913333333333696,1626,14.51,3.15,104.76,0,1,1.1621793054169105,0,173.99999999999991,1055.5666666666734,,,,,
hunter,balanced,16,1,1,200,2,100,16,1337,3506.033333333375,163817,2803.458799593049,35.06033333333375,1504,13.37,3.15,101.01,0,1,1.1621793054169105,0,157.63333333333463,997.3000000000105,,,,,
hunter,balanced,16,1,1,200,3,100,16,1437,3833.166666666702,171805,2689.238662550521,38.33166666666702,1641,14.37,3.15,109.68,0,1,1.1621793054169105,0,185.90000000000163,1023.2666666666777,,,,,
