botStrategy,skillPolicy,ghostXpComboCap,xpCurveMultiplier,xpGainMultiplier,singularityTriggerKills,replicate,games,finalLevel,careerGhosts,campaignSeconds,campaignXp,campaignXpPerMinute,averageRunSeconds,medianRunXp,averageRunKills,averageMazesCleared,averageRunDeaths,averageDotsCollected,singularityRunRate,gameOverRate,deltaXpPerMinutePctVsNoSkills,deltaLevelVsNoSkills,secondsToLevel5,secondsToLevel10,secondsToLevel20,secondsToLevel35,secondsToLevel50,secondsToLevel75,secondsToLevel100
cautious,none,16,1,1,200,1,20,8,178,1158.2666666666526,28781,1490.9001956947345,57.91333333333263,1269,8.9,0,3.35,119.65,0,1,0,0,261.19999999999544,,,,,,
cautious,none,16,1,1,200,2,20,8,211,1256.866666666646,28720,1371.028483530495,62.8433333333323,1423,10.55,0,3.35,124.1,0,1,0,0,324.0666666666611,,,,,,
cautious,balanced,16,1,1,200,1,20,10,387,1560.6666666666297,45963,1767.05254164891,78.03333333333148,2150,19.35,0,3.45,147,0,1,17.425820204272526,1.5,308.9666666666594,1560.6666666666297,,,,,
cautious,balanced,16,1,1,200,2,20,9,252,1427.6333333333039,37949,1594.9053211609287,71.3816666666652,1675,12.6,0,3.4,135.75,0,1,17.425820204272526,1.5,333.4999999999939,,,,,,
collector,none,16,1,1,200,1,20,9,201,1066.4999999999895,41008,2307.0604781997413,53.32499999999948,1608,10.05,0,3.4,131.8,0,1,0,0,233.89999999999822,,,,,,
collector,none,16,1,1,200,2,20,9,198,1151.733333333319,43838,2283.7578143088963,57.58666666666595,1594,9.9,0,3.4,145.1,0,1,0,0,253.7999999999984,,,,,,
collector,balanced,16,1,1,200,1,20,10,279,1301.366666666643,47926,2209.6462693066665,65.06833333333215,2264,13.95,0,3.45,153.25,0,1,-3.4227877979639,1,285.9666666666619,1301.366666666643,,,,,
collector,balanced,16,1,1,200,2,20,10,251,1226.4666666666487,45458,2223.851714953558,61.323333333332435,2185,12.55,0,3.45,151.55,0,1,-3.4227877979639,1,225.26666666666412,1226.4666666666487,,,,,
hunter,none,16,1,1,200,1,20,9,299,799.6666666666717,36380,2729.6373488953554,39.98333333333359,1697,14.95,0,3.4,107.15,0,1,0,0,163.96666666666715,,,,,,
hunter,none,16,1,1,200,2,20,8,260,690.666666666676,31916,2772.6254826254453,34.5333333333338,1493,13,0,3.35,98.95,0,1,0,0,204.90000000000236,,,,,,
hunter,balanced,16,1,1,200,1,20,9,298,816.9666666666702,35468,2604.8553592557723,40.848333333333514,1663,14.9,0,3.4,112.6,0,1,-2.040250457322762,0,173.99999999999991,,,,,,
hunter,balanced,16,1,1,200,2,20,8,277,712.4666666666741,33085,2786.2356133619996,35.623333333333704,1468,13.85,0,3.35,102.45,0,1,-2.040250457322762,0,185.3333333333352,,,,,,
